File_ID	URL	URL_Archive	Timestamp_Archived	Timestamp_Published	Publisher	Author	Title
cdc-gov_20170621T142105	http://www.cdc.gov/measles/vaccination.html	http://web.archive.org/web/20170621142105/https://www.cdc.gov/measles/vaccination.html	2017-06-21T14:21:05	2016-11-22T00:00:00	www.cdc.gov	unknown	Measles | Vaccination | CDC
cdc-gov_20170626T170211	http://www.cdc.gov/vaccines/hcp/vis/vis-statements/mmr.html	http://web.archive.org/web/20170626170211/https://www.cdc.gov/vaccines/hcp/vis/vis-statements/mmr.html	2017-06-26T17:02:11	2013-06-18T00:00:00	www.cdc.gov	unknown	Vaccine Information Statement | MMR | Measles-Mumps-Rubella | VIS | CDC
cdc-gov_20170629T201906	http://www.cdc.gov/vaccines/hcp/vis/vis-statements/dtap.html	http://web.archive.org/web/20170629201906/https://www.cdc.gov/vaccines/hcp/vis/vis-statements/dtap.html	2017-06-29T20:19:06	2016-10-18T00:00:00	www.cdc.gov	unknown	Vaccine Information Statement | Diphtheria-Tetanus-Pertussis | VIS | CDC
cdc-gov_20170701T034626	http://www.cdc.gov/vaccines/hcp/vis/vis-statements/varicella.html	http://web.archive.org/web/20170701034626/https://www.cdc.gov/vaccines/hcp/vis/vis-statements/varicella.html	2017-07-01T03:46:26	2013-06-18T00:00:00	www.cdc.gov	unknown	Vaccine Information Statement | Chickenpox | Varicella | VIS | CDC
cdc-gov_20170701T133819	http://www.cdc.gov/vaccines/parents/	http://web.archive.org/web/20170701133819/https://www.cdc.gov/vaccines/parents/	2017-07-01T13:38:19	2017-06-27T00:00:00	www.cdc.gov	unknown	Parents | Home | Vaccines for Your Children | CDC
cdc-gov_20170703T010627	http://www.cdc.gov/vaccinesafety/concerns/autism.html	http://web.archive.org/web/20170703010627/https://www.cdc.gov/vaccinesafety/concerns/autism.html	2017-07-03T01:06:27	2015-11-23T00:00:00	www.cdc.gov	unknown	Vaccines Do Not Cause Autism Concerns | Vaccine Safety | CDC
cdc-gov_20170706T111717	http://www.cdc.gov/vaccines/parents/vaccine-decision/	http://web.archive.org/web/20170706111717/https://www.cdc.gov/vaccines/parents/vaccine-decision/	2017-07-06T11:17:17	2017-06-19T00:00:00	www.cdc.gov	unknown	Parents | Making the Vaccine Decision | CDC
Child-Health-Safety_20170626T115833	https://childhealthsafety.wordpress.com/graphs/	http://web.archive.org/web/20170626115833/https://childhealthsafety.wordpress.com/graphs/	2017-06-26T11:58:33	2009-02-25T00:00:00	________________Child Health Safety_________________	unknown	Vaccines Did Not Save Us – 2 Centuries Of Official Statistics | ________________Child Health Safety_________________ on WordPress.com
cid-oxfordjournals-org_20161019T051428	http://cid.oxfordjournals.org/content/37/3/407.full	http://web.archive.org/web/20161019051428/http://cid.oxfordjournals.org:80/content/37/3/407.full	2016-10-19T05:14:28	2003-08-01T00:00:00	cid.oxfordjournals.org	Google Scholar	Human Illness Associated with Use of Veterinary Vaccines | Clinical Infectious Diseases | Oxford Academic
CIDRAP_20161223T092534	http://www.cidrap.umn.edu/news-perspective/2015/08/reports-show-early-childhood-immunization-rates-stay-high-exemption-levels	http://web.archive.org/web/20161223092534/http://www.cidrap.umn.edu/news-perspective/2015/08/reports-show-early-childhood-immunization-rates-stay-high-exemption-levels	2016-12-23T09:25:34	2015-08-27T00:00:00	CIDRAP	unknown	Reports show early childhood immunization rates stay high
content-healthaffairs-org_20170210T090820	http://content.healthaffairs.org/content/24/3/611.full	http://web.archive.org/web/20170210090820/http://content.healthaffairs.org/content/24/3/611.full	2017-02-10T09:08:20	2005-05-01T00:00:00	content.healthaffairs.org	Alexandra Minna Stern	The History Of Vaccines And Immunization: Familiar Patterns
Couples-Resorts-Message-Board_20160822T123023	http://couples.com/mb/showthread.php/12988-Vaccines-for-traveling-to-Jamaica	http://web.archive.org/web/20160822123023/http://couples.com:80/mb/showthread.php/12988-Vaccines-for-traveling-to-Jamaica	2016-08-22T12:30:23	2000-01-01T00:00:00	Couples Resorts Message Board	unknown	Vaccines for traveling to Jamaica
Daily-Intelligencer_20160903T110638	http://nymag.com/daily/intelligencer/2015/01/anti-vaccinators-react-to-measles-outbreak.html	http://web.archive.org/web/20160903110638/http://nymag.com/daily/intelligencer/2015/01/anti-vaccinators-react-to-measles-outbreak.html	2016-09-03T11:06:38	2015-02-03T00:00:00	Daily Intelligencer	Jen Kirby	What Anti-Vaccinators Are Saying Online About the Disneyland Measles Outbreak
